FRAME,REQ,RESP,SRC,DEST,TYPE,REQUEST,PORT,'DATA'
,,,,,,,,"    idProduct: Unknown (0x112f)"
,,,,,,,,"    bcdDevice: 0x0100"
,,,,,,,,"    iManufacturer: 0"
,,,,,,,,"    iProduct: 0"
,,,,,,,,"    iSerialNumber: 1"
,,,,,,,,"    bNumConfigurations: 1"
25,24,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  12 01 00 02 00 00 00 40 4d 0b 2f 11 00 01 00 00   .......@M./....."
,,,,,,,,"0050  01 01                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
26,,27,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
27,26,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
28,,29,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
29,28,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
30,,31,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
31,30,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
32,,33,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"CONFIGURATION DESCRIPTOR"
,,,,,,,,"    bLength: 9"
,,,,,,,,"    wTotalLength: 32"
,,,,,,,,"    bNumInterfaces: 1"
,,,,,,,,"    bConfigurationValue: 1"
,,,,,,,,"    iConfiguration: 0"
,,,,,,,,"    Configuration bmAttributes: 0xc0  SELF-POWERED  NO REMOTE-WAKEUP"
,,,,,,,,"        1... .... = Must be 1: Must be 1 for USB 1.1 and higher"
,,,,,,,,"        .1.. .... = Self-Powered: This device is SELF-POWERED"
,,,,,,,,"        ..0. .... = Remote Wakeup: This device does NOT support remote wakeup"
,,,,,,,,"    bMaxPower: 50  (100mA)"
33,32,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  09 02 20 00 01 01 00 c0 32                        .. .....2"
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
34,,35,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"CONFIGURATION DESCRIPTOR"
,,,,,,,,"    bLength: 9"
,,,,,,,,"    wTotalLength: 32"
,,,,,,,,"    bNumInterfaces: 1"
,,,,,,,,"    bConfigurationValue: 1"
,,,,,,,,"    iConfiguration: 0"
,,,,,,,,"    Configuration bmAttributes: 0xc0  SELF-POWERED  NO REMOTE-WAKEUP"
,,,,,,,,"        1... .... = Must be 1: Must be 1 for USB 1.1 and higher"
,,,,,,,,"        .1.. .... = Self-Powered: This device is SELF-POWERED"
,,,,,,,,"        ..0. .... = Remote Wakeup: This device does NOT support remote wakeup"
,,,,,,,,"    bMaxPower: 50  (100mA)"
,,,,,,,,"INTERFACE DESCRIPTOR (0.0): class Printer"
,,,,,,,,"    bLength: 9"
,,,,,,,,"    bInterfaceNumber: 0"
,,,,,,,,"    bAlternateSetting: 0"
,,,,,,,,"    bNumEndpoints: 2"
,,,,,,,,"    bInterfaceClass: Printer (0x07)"
,,,,,,,,"    bInterfaceSubClass: 0x01"
,,,,,,,,"    bInterfaceProtocol: 0x02"
,,,,,,,,"    iInterface: 0"
,,,,,,,,"ENDPOINT DESCRIPTOR"
,,,,,,,,"    bLength: 7"
,,,,,,,,"    bEndpointAddress: 0x01  OUT  Endpoint:1"
,,,,,,,,"        .... 0001 = Endpoint Number: 0x1"
,,,,,,,,"    bmAttributes: 0x02"
,,,,,,,,"        .... ..10 = Transfertype: Bulk-Transfer (0x2)"
,,,,,,,,"    wMaxPacketSize: 64"
,,,,,,,,"        .... ..00 0100 0000 = Maximum Packet Size: 64"
,,,,,,,,"    bInterval: 0"
,,,,,,,,"ENDPOINT DESCRIPTOR"
,,,,,,,,"    bLength: 7"
,,,,,,,,"    bEndpointAddress: 0x82  IN  Endpoint:2"
,,,,,,,,"        .... 0010 = Endpoint Number: 0x2"
,,,,,,,,"    bmAttributes: 0x02"
,,,,,,,,"        .... ..10 = Transfertype: Bulk-Transfer (0x2)"
,,,,,,,,"    wMaxPacketSize: 64"
,,,,,,,,"        .... ..00 0100 0000 = Maximum Packet Size: 64"
,,,,,,,,"    bInterval: 0"
35,34,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  09 02 20 00 01 01 00 c0 32 09 04 00 00 02 07 01   .. .....2......."
,,,,,,,,"0050  02 00 07 05 01 02 40 00 00 07 05 82 02 40 00 00   ......@......@.."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
36,,37,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"STRING DESCRIPTOR"
,,,,,,,,"    bLength: 4"
,,,,,,,,"    wLANGID: English (United States) (0x0409)"
37,36,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  04 03 09 04                                       ...."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
38,,39,host,3.4.0,URB_SUBMIT ('S'),GET DESCRIPTOR (6),,""
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
,,,,,,,,"STRING DESCRIPTOR"
,,,,,,,,"    bLength: 16"
,,,,,,,,"    bString: 39390"
39,38,,3.4.0,host,URB_COMPLETE ('C'),,,""
,,,,,,,,"0040  10 03 33 00 39 00 33 00 39 00 30 00 00 00 00 00   ..3.9.3.9.0....."
