FRAME,REQ,RESP,SRC,DEST,TYPE,REQUEST,PORT,'DATA'
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
30,,,3.3.2,host,URB_COMPLETE ('C'),,,"3103"
,,,,,,,,"0040  31 03                                             1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
31,,,host,3.3.1,URB_SUBMIT ('S'),,,"465833332c310321352c31034643302c312c31034645302c..."
,,,,,,,,"0040  46 58 33 33 2c 31 03 21 35 2c 31 03 46 43 30 2c   FX33,1.!5,1.FC0,"
,,,,,,,,"0050  31 2c 31 03 46 45 30 2c 31 03                     1,1.FE0,1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
32,,,host,3.3.1,URB_SUBMIT ('S'),,,"4646312c302c31034646312c312c3103464331382c312c31..."
,,,,,,,,"0040  46 46 31 2c 30 2c 31 03 46 46 31 2c 31 2c 31 03   FF1,0,1.FF1,1,1."
,,,,,,,,"0050  46 43 31 38 2c 31 2c 31 03 46 59 31 03 54 46 31   FC18,1,1.FY1.TF1"
,,,,,,,,"0060  2c 31 03                                          ,1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
33,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
34,,,3.3.2,host,URB_COMPLETE ('C'),,,"3103"
,,,,,,,,"0040  31 03                                             1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
35,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
36,,,3.3.2,host,URB_COMPLETE ('C'),,,"3103"
,,,,,,,,"0040  31 03                                             1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
37,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
38,,,3.3.2,host,URB_COMPLETE ('C'),,,"3103"
,,,,,,,,"0040  31 03                                             1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
39,,,host,3.3.1,URB_SUBMIT ('S'),,,"1b05"
,,,,,,,,"0040  1b 05                                             .."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
40,,,3.3.2,host,URB_COMPLETE ('C'),,,"3103"
,,,,,,,,"0040  31 03                                             1."
,,,,,,,,"    Interface id: 0 (unknown)"
,,,,,,,,"        Interface name: unknown"
