"205","host","3.4.1","ESC ENQ"
"207","3.4.2","host","'0' ETX"
"209","host","3.4.1","ESC ENQ"
"211","3.4.2","host","'0' ETX"
"213","host","3.4.1","ESC ENQ"
"215","3.4.2","host","'0' ETX"
"217","host","3.4.1","ESC ENQ"
"219","3.4.2","host","'0' ETX"
"221","host","3.4.1","ESC ENQ"
"223","3.4.2","host","'0' ETX"
"225","host","3.4.1","ESC ENQ"
"227","3.4.2","host","'0' ETX"
"228","host","3.4.1","'TG1' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
,,,"'\30,30' ETX"
,,,"'Z5558,4288' ETX"
,,,"'J1' ETX"
"231","host","3.4.1","'!10,1' ETX"
,,,"'FX18,1' ETX"
,,,"'FC0,1,1' ETX"
"233","host","3.4.1","'FE0,1' ETX"
,,,"'FF0,0,1' ETX"
"235","host","3.4.1","ESC ENQ"
"237","3.4.2","host","'0' ETX"
"238","host","3.4.1","ESC ENQ"
"241","3.4.2","host","'0' ETX"
"242","host","3.4.1","'M762,762' ETX"
"245","host","3.4.1","BE2 ... ETX"
"247","host","3.4.1","BE1 ... ETX"
"249","host","3.4.1","ESC ENQ"
"251","3.4.2","host","'1' ETX"
"252","host","3.4.1","ESC ENQ"
"255","3.4.2","host","'1' ETX"
"256","host","3.4.1","ESC ENQ"
"259","3.4.2","host","'1' ETX"
"261","host","3.4.1","ESC ENQ"
"263","3.4.2","host","'1' ETX"
"265","host","3.4.1","ESC ENQ"
"267","3.4.2","host","'0' ETX"
"268","host","3.4.1","ESC ENQ"
"271","3.4.2","host","'0' ETX"
"272","host","3.4.1","ESC ENQ"
"275","3.4.2","host","'0' ETX"
"276","host","3.4.1","'L0' ETX"
,,,"'J2' ETX"
"279","host","3.4.1","'!10,2' ETX"
,,,"'FX18,2' ETX"
,,,"'FC0,1,2' ETX"
,,,"'FE0,2' ETX"
,,,"'FF0,0,2' ETX"
"281","host","3.4.1","ESC ENQ"
"283","3.4.2","host","'1' ETX"
"284","host","3.4.1","ESC ENQ"
"287","3.4.2","host","'1' ETX"
"288","host","3.4.1","ESC ENQ"
"291","3.4.2","host","'0' ETX"
"292","host","3.4.1","'M762,1778' ETX"
"295","host","3.4.1","BE2 ... ETX"
"297","host","3.4.1","BE1 ... ETX"
"299","host","3.4.1","ESC ENQ"
"301","3.4.2","host","'1' ETX"
"302","host","3.4.1","ESC ENQ"
"305","3.4.2","host","'1' ETX"
"306","host","3.4.1","ESC ENQ"
"309","3.4.2","host","'1' ETX"
"311","host","3.4.1","ESC ENQ"
"313","3.4.2","host","'1' ETX"
"315","host","3.4.1","ESC ENQ"
"317","3.4.2","host","'0' ETX"
"318","host","3.4.1","ESC ENQ"
"321","3.4.2","host","'0' ETX"
"322","host","3.4.1","ESC ENQ"
"325","3.4.2","host","'0' ETX"
"326","host","3.4.1","'L0' ETX"
,,,"'\0,0' ETX"
,,,"'M0,0' ETX"
,,,"'J0' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
"329","host","3.4.1","ESC ENQ"
"331","3.4.2","host","'1' ETX"
"333","host","3.4.1","ESC ENQ"
"335","3.4.2","host","'1' ETX"
"337","host","3.4.1","ESC ENQ"
"339","3.4.2","host","'1' ETX"
"341","host","3.4.1","ESC ENQ"
"343","3.4.2","host","'0' ETX"
"345","host","3.4.1","ESC ENQ"
"347","3.4.2","host","'0' ETX"
"349","host","3.4.1","ESC ENQ"
"351","3.4.2","host","'0' ETX"
"353","host","3.4.1","ESC ENQ"
"355","3.4.2","host","'0' ETX"
"357","host","3.4.1","ESC ENQ"
"359","3.4.2","host","'0' ETX"
"361","host","3.4.1","ESC ENQ"
"363","3.4.2","host","'0' ETX"
"365","host","3.4.1","ESC ENQ"
"367","3.4.2","host","'0' ETX"
"369","host","3.4.1","ESC ENQ"
"371","3.4.2","host","'0' ETX"
"373","host","3.4.1","ESC ENQ"
"375","3.4.2","host","'0' ETX"
"377","host","3.4.1","ESC ENQ"
"379","3.4.2","host","'0' ETX"
"381","host","3.4.1","ESC ENQ"
"383","3.4.2","host","'0' ETX"
"385","host","3.4.1","ESC ENQ"
"387","3.4.2","host","'0' ETX"
"389","host","3.4.1","ESC ENQ"
"391","3.4.2","host","'0' ETX"
"393","host","3.4.1","ESC ENQ"
"395","3.4.2","host","'0' ETX"
"397","host","3.4.1","ESC ENQ"
"399","3.4.2","host","'0' ETX"
"401","host","3.4.1","ESC ENQ"
"403","3.4.2","host","'0' ETX"
"405","host","3.4.1","ESC ENQ"
"407","3.4.2","host","'0' ETX"
"409","host","3.4.1","ESC ENQ"
"411","3.4.2","host","'0' ETX"
