"2","3.3.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"290","host","3.3.1","BE1 ... ETX"
"292","host","3.3.1","BE2 ... ETX"
"294","host","3.3.1","BE1 ... ETX"
"296","host","3.3.1","ESC ENQ"
"298","3.3.2","host","'1' ETX"
"299","host","3.3.1","ESC ENQ"
"302","3.3.2","host","'1' ETX"
"303","host","3.3.1","ESC ENQ"
"306","3.3.2","host","'1' ETX"
"308","host","3.3.1","ESC ENQ"
"310","3.3.2","host","'1' ETX"
"312","host","3.3.1","ESC ENQ"
"314","3.3.2","host","'1' ETX"
"316","host","3.3.1","ESC ENQ"
"318","3.3.2","host","'1' ETX"
"320","host","3.3.1","ESC ENQ"
"322","3.3.2","host","'1' ETX"
"324","host","3.3.1","ESC ENQ"
"326","3.3.2","host","'1' ETX"
"328","host","3.3.1","ESC ENQ"
"330","3.3.2","host","'0' ETX"
"331","host","3.3.1","ESC ENQ"
"334","3.3.2","host","'0' ETX"
"335","host","3.3.1","ESC ENQ"
"338","3.3.2","host","'0' ETX"
"339","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"342","host","3.3.1","'FX20,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"344","host","3.3.1","'FY1' ETX"
,,,"'TF3,1' ETX"
"346","host","3.3.1","ESC ENQ"
"348","3.3.2","host","'1' ETX"
"349","host","3.3.1","ESC ENQ"
"352","3.3.2","host","'1' ETX"
"353","host","3.3.1","ESC ENQ"
"356","3.3.2","host","'1' ETX"
"358","host","3.3.1","ESC ENQ"
"360","3.3.2","host","'1' ETX"
"362","host","3.3.1","ESC ENQ"
"364","3.3.2","host","'1' ETX"
"366","host","3.3.1","ESC ENQ"
"368","3.3.2","host","'1' ETX"
"370","host","3.3.1","ESC ENQ"
"372","3.3.2","host","'1' ETX"
"374","host","3.3.1","ESC ENQ"
"376","3.3.2","host","'1' ETX"
"378","host","3.3.1","ESC ENQ"
"380","3.3.2","host","'1' ETX"
"382","host","3.3.1","ESC ENQ"
"384","3.3.2","host","'1' ETX"
"386","host","3.3.1","ESC ENQ"
"388","3.3.2","host","'1' ETX"
"390","host","3.3.1","ESC ENQ"
"392","3.3.2","host","'1' ETX"
"394","host","3.3.1","ESC ENQ"
"396","3.3.2","host","'1' ETX"
"398","host","3.3.1","ESC ENQ"
"400","3.3.2","host","'1' ETX"
"402","host","3.3.1","ESC ENQ"
"404","3.3.2","host","'1' ETX"
"406","host","3.3.1","ESC ENQ"
"408","3.3.2","host","'1' ETX"
"410","host","3.3.1","ESC ENQ"
"412","3.3.2","host","'1' ETX"
"414","host","3.3.1","ESC ENQ"
"416","3.3.2","host","'1' ETX"
"418","host","3.3.1","ESC ENQ"
"420","3.3.2","host","'1' ETX"
"422","host","3.3.1","ESC ENQ"
"424","3.3.2","host","'1' ETX"
"426","host","3.3.1","ESC ENQ"
"428","3.3.2","host","'1' ETX"
"430","host","3.3.1","ESC ENQ"
"432","3.3.2","host","'0' ETX"
"433","host","3.3.1","'M254,1544' ETX"
"436","host","3.3.1","BE1 ... ETX"
"438","host","3.3.1","BE2 ... ETX"
"440","host","3.3.1","BE1 ... ETX"
"442","host","3.3.1","ESC ENQ"
"444","3.3.2","host","'1' ETX"
"445","host","3.3.1","ESC ENQ"
"448","3.3.2","host","'1' ETX"
"449","host","3.3.1","ESC ENQ"
"452","3.3.2","host","'1' ETX"
"454","host","3.3.1","ESC ENQ"
"456","3.3.2","host","'1' ETX"
"458","host","3.3.1","ESC ENQ"
"460","3.3.2","host","'1' ETX"
"462","host","3.3.1","ESC ENQ"
"464","3.3.2","host","'1' ETX"
"466","host","3.3.1","ESC ENQ"
"468","3.3.2","host","'1' ETX"
"470","host","3.3.1","ESC ENQ"
"472","3.3.2","host","'1' ETX"
"474","host","3.3.1","ESC ENQ"
"476","3.3.2","host","'1' ETX"
"478","host","3.3.1","ESC ENQ"
"480","3.3.2","host","'0' ETX"
"481","host","3.3.1","ESC ENQ"
"484","3.3.2","host","'0' ETX"
"485","host","3.3.1","ESC ENQ"
"488","3.3.2","host","'0' ETX"
"489","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"492","host","3.3.1","'FX15,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"494","host","3.3.1","'FY1' ETX"
,,,"'TF4,1' ETX"
"496","host","3.3.1","ESC ENQ"
"498","3.3.2","host","'1' ETX"
"499","host","3.3.1","ESC ENQ"
"502","3.3.2","host","'1' ETX"
"503","host","3.3.1","ESC ENQ"
"506","3.3.2","host","'1' ETX"
"508","host","3.3.1","ESC ENQ"
"510","3.3.2","host","'1' ETX"
"512","host","3.3.1","ESC ENQ"
"514","3.3.2","host","'1' ETX"
"516","host","3.3.1","ESC ENQ"
"518","3.3.2","host","'1' ETX"
"520","host","3.3.1","ESC ENQ"
"522","3.3.2","host","'1' ETX"
"524","host","3.3.1","ESC ENQ"
"526","3.3.2","host","'1' ETX"
"528","host","3.3.1","ESC ENQ"
"530","3.3.2","host","'1' ETX"
"532","host","3.3.1","ESC ENQ"
"534","3.3.2","host","'1' ETX"
"536","host","3.3.1","ESC ENQ"
"538","3.3.2","host","'1' ETX"
"540","host","3.3.1","ESC ENQ"
"542","3.3.2","host","'1' ETX"
"544","host","3.3.1","ESC ENQ"
"546","3.3.2","host","'1' ETX"
"548","host","3.3.1","ESC ENQ"
"550","3.3.2","host","'1' ETX"
"552","host","3.3.1","ESC ENQ"
"554","3.3.2","host","'1' ETX"
"556","host","3.3.1","ESC ENQ"
"558","3.3.2","host","'1' ETX"
"560","host","3.3.1","ESC ENQ"
"562","3.3.2","host","'1' ETX"
"564","host","3.3.1","ESC ENQ"
"566","3.3.2","host","'1' ETX"
"568","host","3.3.1","ESC ENQ"
"570","3.3.2","host","'1' ETX"
"572","host","3.3.1","ESC ENQ"
"574","3.3.2","host","'1' ETX"
"576","host","3.3.1","ESC ENQ"
"578","3.3.2","host","'1' ETX"
"580","host","3.3.1","ESC ENQ"
"582","3.3.2","host","'1' ETX"
"584","host","3.3.1","ESC ENQ"
"586","3.3.2","host","'0' ETX"
"587","host","3.3.1","'M254,2179' ETX"
"590","host","3.3.1","BE1 ... ETX"
"592","host","3.3.1","BE2 ... ETX"
"594","host","3.3.1","BE1 ... ETX"
"596","host","3.3.1","ESC ENQ"
"598","3.3.2","host","'1' ETX"
"599","host","3.3.1","ESC ENQ"
"602","3.3.2","host","'1' ETX"
"603","host","3.3.1","ESC ENQ"
"606","3.3.2","host","'1' ETX"
"608","host","3.3.1","ESC ENQ"
"610","3.3.2","host","'1' ETX"
"612","host","3.3.1","ESC ENQ"
"614","3.3.2","host","'1' ETX"
"616","host","3.3.1","ESC ENQ"
"618","3.3.2","host","'1' ETX"
"620","host","3.3.1","ESC ENQ"
"622","3.3.2","host","'1' ETX"
"624","host","3.3.1","ESC ENQ"
"626","3.3.2","host","'1' ETX"
"628","host","3.3.1","ESC ENQ"
"630","3.3.2","host","'1' ETX"
"632","host","3.3.1","ESC ENQ"
"634","3.3.2","host","'1' ETX"
"636","host","3.3.1","ESC ENQ"
"638","3.3.2","host","'1' ETX"
"640","host","3.3.1","ESC ENQ"
"642","3.3.2","host","'0' ETX"
"644","host","3.3.1","ESC ENQ"
"646","3.3.2","host","'0' ETX"
"647","host","3.3.1","ESC ENQ"
"650","3.3.2","host","'0' ETX"
"651","host","3.3.1","'L0' ETX"
,,,"'J1' ETX"
"654","host","3.3.1","'FX10,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"656","host","3.3.1","'FY1' ETX"
,,,"'TF5,1' ETX"
"658","host","3.3.1","ESC ENQ"
"660","3.3.2","host","'1' ETX"
"661","host","3.3.1","ESC ENQ"
