"2","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"320","host","3.2.1","ESC ENQ"
"322","3.2.2","host","'0' ETX"
"324","host","3.2.1","ESC ENQ"
"326","3.2.2","host","'0' ETX"
"328","host","3.2.1","ESC ENQ"
"330","3.2.2","host","'0' ETX"
"332","host","3.2.1","ESC ENQ"
"334","3.2.2","host","'0' ETX"
"336","host","3.2.1","ESC ENQ"
"338","3.2.2","host","'0' ETX"
"340","host","3.2.1","ESC ENQ"
"342","3.2.2","host","'0' ETX"
"344","host","3.2.1","ESC ENQ"
"346","3.2.2","host","'0' ETX"
"348","host","3.2.1","ESC ENQ"
"350","3.2.2","host","'0' ETX"
"352","host","3.2.1","ESC ENQ"
"354","3.2.2","host","'0' ETX"
"356","host","3.2.1","ESC ENQ"
"358","3.2.2","host","'0' ETX"
"360","host","3.2.1","ESC ENQ"
"362","3.2.2","host","'0' ETX"
"364","host","3.2.1","ESC ENQ"
"366","3.2.2","host","'0' ETX"
"368","host","3.2.1","ESC ENQ"
"370","3.2.2","host","'0' ETX"
"372","host","3.2.1","ESC ENQ"
"374","3.2.2","host","'0' ETX"
"376","host","3.2.1","ESC ENQ"
"378","3.2.2","host","'0' ETX"
"380","host","3.2.1","ESC ENQ"
"382","3.2.2","host","'0' ETX"
"384","host","3.2.1","ESC ENQ"
"386","3.2.2","host","'0' ETX"
"388","host","3.2.1","ESC ENQ"
"390","3.2.2","host","'0' ETX"
"392","host","3.2.1","ESC ENQ"
"394","3.2.2","host","'0' ETX"
"396","host","3.2.1","ESC ENQ"
"398","3.2.2","host","'0' ETX"
"400","host","3.2.1","ESC ENQ"
"402","3.2.2","host","'0' ETX"
"404","host","3.2.1","ESC ENQ"
"406","3.2.2","host","'0' ETX"
"408","host","3.2.1","ESC ENQ"
"410","3.2.2","host","'0' ETX"
"412","host","3.2.1","ESC ENQ"
"414","3.2.2","host","'0' ETX"
"416","host","3.2.1","ESC ENQ"
"418","3.2.2","host","'0' ETX"
"420","host","3.2.1","ESC ENQ"
"422","3.2.2","host","'0' ETX"
"424","host","3.2.1","ESC ENQ"
"426","3.2.2","host","'0' ETX"
"428","host","3.2.1","ESC ENQ"
"430","3.2.2","host","'0' ETX"
"432","host","3.2.1","ESC ENQ"
"434","3.2.2","host","'0' ETX"
"436","host","3.2.1","ESC ENQ"
"438","3.2.2","host","'0' ETX"
"440","host","3.2.1","ESC ENQ"
"442","3.2.2","host","'0' ETX"
"444","host","3.2.1","ESC ENQ"
"446","3.2.2","host","'0' ETX"
"448","host","3.2.1","ESC ENQ"
"450","3.2.2","host","'0' ETX"
"452","host","3.2.1","ESC ENQ"
"454","3.2.2","host","'0' ETX"
"456","host","3.2.1","ESC ENQ"
"458","3.2.2","host","'0' ETX"
"460","host","3.2.1","ESC ENQ"
"462","3.2.2","host","'0' ETX"
"464","host","3.2.1","ESC ENQ"
"466","3.2.2","host","'0' ETX"
"468","host","3.2.1","ESC ENQ"
"470","3.2.2","host","'0' ETX"
"472","host","3.2.1","ESC ENQ"
"474","3.2.2","host","'0' ETX"
"476","host","3.2.1","ESC ENQ"
"478","3.2.2","host","'0' ETX"
"480","host","3.2.1","ESC ENQ"
"482","3.2.2","host","'0' ETX"
"484","host","3.2.1","ESC ENQ"
"486","3.2.2","host","'0' ETX"
"488","host","3.2.1","ESC ENQ"
"490","3.2.2","host","'0' ETX"
"492","host","3.2.1","ESC ENQ"
"494","3.2.2","host","'0' ETX"
"496","host","3.2.1","ESC ENQ"
"498","3.2.2","host","'0' ETX"
"500","host","3.2.1","ESC ENQ"
"502","3.2.2","host","'0' ETX"
"504","host","3.2.1","ESC ENQ"
"506","3.2.2","host","'0' ETX"
"508","host","3.2.1","ESC ENQ"
"510","3.2.2","host","'0' ETX"
"512","host","3.2.1","ESC ENQ"
"514","3.2.2","host","'0' ETX"
"516","host","3.2.1","ESC ENQ"
"518","3.2.2","host","'0' ETX"
"520","host","3.2.1","ESC ENQ"
"522","3.2.2","host","'0' ETX"
"524","host","3.2.1","ESC ENQ"
"526","3.2.2","host","'0' ETX"
"528","host","3.2.1","ESC ENQ"
"530","3.2.2","host","'0' ETX"
"532","host","3.2.1","ESC ENQ"
"534","3.2.2","host","'0' ETX"
"536","host","3.2.1","ESC ENQ"
"538","3.2.2","host","'0' ETX"
"540","host","3.2.1","ESC ENQ"
"542","3.2.2","host","'0' ETX"
"544","host","3.2.1","ESC ENQ"
"546","3.2.2","host","'0' ETX"
"548","host","3.2.1","ESC ENQ"
"550","3.2.2","host","'0' ETX"
"552","host","3.2.1","ESC ENQ"
"554","3.2.2","host","'0' ETX"
"556","host","3.2.1","ESC ENQ"
"558","3.2.2","host","'0' ETX"
"560","host","3.2.1","ESC ENQ"
"562","3.2.2","host","'0' ETX"
"564","host","3.2.1","ESC ENQ"
"566","3.2.2","host","'0' ETX"
"568","host","3.2.1","ESC ENQ"
"570","3.2.2","host","'0' ETX"
"572","host","3.2.1","ESC ENQ"
"574","3.2.2","host","'0' ETX"
"576","host","3.2.1","ESC ENQ"
"578","3.2.2","host","'0' ETX"
"580","host","3.2.1","ESC ENQ"
"582","3.2.2","host","'0' ETX"
"584","host","3.2.1","ESC ENQ"
"586","3.2.2","host","'0' ETX"
"588","host","3.2.1","ESC ENQ"
"590","3.2.2","host","'0' ETX"
"592","host","3.2.1","ESC ENQ"
"594","3.2.2","host","'0' ETX"
"596","host","3.2.1","ESC ENQ"
"598","3.2.2","host","'0' ETX"
"600","host","3.2.1","ESC ENQ"
"602","3.2.2","host","'0' ETX"
"604","host","3.2.1","ESC ENQ"
"606","3.2.2","host","'0' ETX"
"608","host","3.2.1","ESC ENQ"
"610","3.2.2","host","'0' ETX"
"612","host","3.2.1","ESC ENQ"
"614","3.2.2","host","'0' ETX"
"616","host","3.2.1","ESC ENQ"
"618","3.2.2","host","'0' ETX"
"620","host","3.2.1","ESC ENQ"
"622","3.2.2","host","'0' ETX"
"624","host","3.2.1","ESC ENQ"
"626","3.2.2","host","'0' ETX"
"628","host","3.2.1","ESC ENQ"
"630","3.2.2","host","'0' ETX"
"632","host","3.2.1","ESC ENQ"
"634","3.2.2","host","'0' ETX"
"636","host","3.2.1","ESC ENQ"
"638","3.2.2","host","'0' ETX"
"640","host","3.2.1","ESC ENQ"
"642","3.2.2","host","'0' ETX"
"644","host","3.2.1","ESC ENQ"
"646","3.2.2","host","'0' ETX"
"648","host","3.2.1","ESC ENQ"
"650","3.2.2","host","'0' ETX"
"651","host","3.2.1","ESC ENQ"
"654","3.2.2","host","'0' ETX"
"655","host","3.2.1","ESC ENQ"
"658","3.2.2","host","'0' ETX"
"660","host","3.2.1","ESC ENQ"
"662","3.2.2","host","'0' ETX"
"664","host","3.2.1","ESC ENQ"
"666","3.2.2","host","'0' ETX"
"668","host","3.2.1","ESC ENQ"
"670","3.2.2","host","'0' ETX"
"672","host","3.2.1","ESC ENQ"
"674","3.2.2","host","'0' ETX"
"676","host","3.2.1","ESC ENQ"
"678","3.2.2","host","'0' ETX"
"680","host","3.2.1","ESC ENQ"
"682","3.2.2","host","'0' ETX"
"684","host","3.2.1","ESC ENQ"
"686","3.2.2","host","'0' ETX"
"688","host","3.2.1","ESC ENQ"
"690","3.2.2","host","'0' ETX"
"692","host","3.2.1","ESC ENQ"
"694","3.2.2","host","'0' ETX"
"696","host","3.2.1","ESC ENQ"
"698","3.2.2","host","'0' ETX"
"700","host","3.2.1","ESC ENQ"
"702","3.2.2","host","'0' ETX"
"704","host","3.2.1","ESC ENQ"
"706","3.2.2","host","'0' ETX"
"708","host","3.2.1","ESC ENQ"
"710","3.2.2","host","'0' ETX"
"712","host","3.2.1","ESC ENQ"
"714","3.2.2","host","'0' ETX"
