"2","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"1330","3.2.2","host","'  5826,  5212' ETX"
"1331","host","3.2.1","'FQ0' ETX"
"1334","3.2.2","host","'    5' ETX"
"1335","host","3.2.1","'FQ2' ETX"
"1338","3.2.2","host","'   18' ETX"
"1339","host","3.2.1","'TB71' ETX"
"1342","3.2.2","host","'    0,    0' ETX"
"1343","host","3.2.1","'FA' ETX"
"1346","3.2.2","host","'    0,    0' ETX"
"1347","host","3.2.1","ESC ENQ"
"1350","3.2.2","host","'0' ETX"
"1352","host","3.2.1","ESC ENQ"
"1354","3.2.2","host","'0' ETX"
"1356","host","3.2.1","ESC ENQ"
"1358","3.2.2","host","'0' ETX"
"1360","host","3.2.1","ESC ENQ"
"1362","3.2.2","host","'0' ETX"
"1364","host","3.2.1","ESC ENQ"
"1366","3.2.2","host","'0' ETX"
"1368","host","3.2.1","ESC ENQ"
"1370","3.2.2","host","'0' ETX"
"1372","host","3.2.1","ESC ENQ"
"1374","3.2.2","host","'0' ETX"
"1376","host","3.2.1","ESC ENQ"
"1378","3.2.2","host","'0' ETX"
"1380","host","3.2.1","ESC ENQ"
"1382","3.2.2","host","'0' ETX"
"1384","host","3.2.1","ESC ENQ"
"1386","3.2.2","host","'0' ETX"
"1388","host","3.2.1","ESC ENQ"
"1390","3.2.2","host","'0' ETX"
"1392","host","3.2.1","ESC ENQ"
"1394","3.2.2","host","'0' ETX"
"1396","host","3.2.1","ESC ENQ"
"1398","3.2.2","host","'0' ETX"
"1400","host","3.2.1","ESC ENQ"
"1402","3.2.2","host","'0' ETX"
"1404","host","3.2.1","ESC ENQ"
"1406","3.2.2","host","'0' ETX"
"1408","host","3.2.1","ESC ENQ"
"1410","3.2.2","host","'0' ETX"
"1412","host","3.2.1","ESC ENQ"
"1414","3.2.2","host","'0' ETX"
"1416","host","3.2.1","ESC ENQ"
"1418","3.2.2","host","'0' ETX"
"1420","host","3.2.1","ESC ENQ"
"1422","3.2.2","host","'0' ETX"
"1424","host","3.2.1","ESC ENQ"
"1426","3.2.2","host","'0' ETX"
"1428","host","3.2.1","ESC ENQ"
"1430","3.2.2","host","'0' ETX"
"1432","host","3.2.1","ESC ENQ"
"1434","3.2.2","host","'0' ETX"
"1436","host","3.2.1","ESC ENQ"
"1438","3.2.2","host","'0' ETX"
"1440","host","3.2.1","ESC ENQ"
"1442","3.2.2","host","'0' ETX"
"1444","host","3.2.1","ESC ENQ"
"1446","3.2.2","host","'0' ETX"
"1448","host","3.2.1","ESC ENQ"
"1450","3.2.2","host","'0' ETX"
"1452","host","3.2.1","ESC ENQ"
"1454","3.2.2","host","'0' ETX"
"1456","host","3.2.1","ESC ENQ"
"1458","3.2.2","host","'0' ETX"
"1460","host","3.2.1","ESC ENQ"
"1462","3.2.2","host","'0' ETX"
"1464","host","3.2.1","ESC ENQ"
"1466","3.2.2","host","'0' ETX"
"1468","host","3.2.1","ESC ENQ"
"1470","3.2.2","host","'0' ETX"
"1472","host","3.2.1","ESC ENQ"
"1474","3.2.2","host","'0' ETX"
"1476","host","3.2.1","ESC ENQ"
"1478","3.2.2","host","'0' ETX"
"1480","host","3.2.1","ESC ENQ"
"1482","3.2.2","host","'0' ETX"
"1484","host","3.2.1","ESC ENQ"
"1486","3.2.2","host","'0' ETX"
"1488","host","3.2.1","ESC ENQ"
"1490","3.2.2","host","'0' ETX"
"1492","host","3.2.1","ESC ENQ"
"1494","3.2.2","host","'0' ETX"
"1496","host","3.2.1","ESC ENQ"
"1498","3.2.2","host","'0' ETX"
