"1","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"160","host","3.2.1","ESC ENQ"
"161","3.2.2","host","'0' ETX"
"162","host","3.2.1","ESC ENQ"
"163","3.2.2","host","'0' ETX"
"164","host","3.2.1","ESC ENQ"
"165","3.2.2","host","'0' ETX"
"166","host","3.2.1","ESC ENQ"
"167","3.2.2","host","'0' ETX"
"168","host","3.2.1","ESC ENQ"
"169","3.2.2","host","'0' ETX"
"170","host","3.2.1","ESC ENQ"
"171","3.2.2","host","'0' ETX"
"172","host","3.2.1","ESC ENQ"
"173","3.2.2","host","'0' ETX"
"174","host","3.2.1","ESC ENQ"
"175","3.2.2","host","'0' ETX"
"176","host","3.2.1","ESC ENQ"
"177","3.2.2","host","'0' ETX"
"178","host","3.2.1","ESC ENQ"
"179","3.2.2","host","'0' ETX"
"180","host","3.2.1","ESC ENQ"
"181","3.2.2","host","'0' ETX"
"182","host","3.2.1","ESC ENQ"
"183","3.2.2","host","'0' ETX"
"184","host","3.2.1","ESC ENQ"
"185","3.2.2","host","'0' ETX"
"186","host","3.2.1","ESC ENQ"
"187","3.2.2","host","'0' ETX"
"188","host","3.2.1","ESC ENQ"
"189","3.2.2","host","'0' ETX"
"190","host","3.2.1","ESC ENQ"
"191","3.2.2","host","'0' ETX"
"192","host","3.2.1","ESC ENQ"
"193","3.2.2","host","'0' ETX"
"194","host","3.2.1","ESC ENQ"
"195","3.2.2","host","'0' ETX"
"196","host","3.2.1","ESC ENQ"
"197","3.2.2","host","'0' ETX"
"198","host","3.2.1","ESC ENQ"
"199","3.2.2","host","'0' ETX"
"200","host","3.2.1","ESC ENQ"
"201","3.2.2","host","'0' ETX"
"202","host","3.2.1","ESC ENQ"
"203","3.2.2","host","'0' ETX"
"204","host","3.2.1","ESC ENQ"
"205","3.2.2","host","'0' ETX"
"206","host","3.2.1","ESC ENQ"
"207","3.2.2","host","'0' ETX"
"208","host","3.2.1","ESC ENQ"
"209","3.2.2","host","'0' ETX"
"210","host","3.2.1","ESC ENQ"
"211","3.2.2","host","'0' ETX"
"212","host","3.2.1","ESC ENQ"
"213","3.2.2","host","'0' ETX"
"214","host","3.2.1","ESC ENQ"
"215","3.2.2","host","'0' ETX"
"216","host","3.2.1","ESC ENQ"
"217","3.2.2","host","'0' ETX"
"218","host","3.2.1","ESC ENQ"
"219","3.2.2","host","'0' ETX"
"220","host","3.2.1","ESC ENQ"
"221","3.2.2","host","'0' ETX"
"222","host","3.2.1","ESC ENQ"
"223","3.2.2","host","'0' ETX"
"224","host","3.2.1","ESC ENQ"
"225","3.2.2","host","'0' ETX"
"226","host","3.2.1","ESC ENQ"
"227","3.2.2","host","'0' ETX"
"228","host","3.2.1","ESC ENQ"
"229","3.2.2","host","'0' ETX"
"230","host","3.2.1","ESC ENQ"
"231","3.2.2","host","'0' ETX"
"232","host","3.2.1","ESC ENQ"
"233","3.2.2","host","'0' ETX"
"234","host","3.2.1","ESC ENQ"
"235","3.2.2","host","'0' ETX"
"236","host","3.2.1","ESC ENQ"
"237","3.2.2","host","'0' ETX"
"238","host","3.2.1","ESC ENQ"
"239","3.2.2","host","'0' ETX"
"240","host","3.2.1","ESC ENQ"
"241","3.2.2","host","'0' ETX"
"242","host","3.2.1","ESC ENQ"
"243","3.2.2","host","'0' ETX"
"244","host","3.2.1","ESC ENQ"
"245","3.2.2","host","'0' ETX"
"246","host","3.2.1","ESC ENQ"
"247","3.2.2","host","'0' ETX"
"248","host","3.2.1","ESC ENQ"
"249","3.2.2","host","'0' ETX"
"250","host","3.2.1","ESC ENQ"
"251","3.2.2","host","'0' ETX"
"252","host","3.2.1","ESC ENQ"
"253","3.2.2","host","'0' ETX"
"254","host","3.2.1","ESC ENQ"
"255","3.2.2","host","'0' ETX"
"256","host","3.2.1","ESC ENQ"
"257","3.2.2","host","'0' ETX"
"258","host","3.2.1","ESC ENQ"
"259","3.2.2","host","'0' ETX"
"260","host","3.2.1","ESC ENQ"
"261","3.2.2","host","'0' ETX"
"262","host","3.2.1","ESC ENQ"
"263","3.2.2","host","'0' ETX"
"264","host","3.2.1","ESC ENQ"
"265","3.2.2","host","'0' ETX"
"266","host","3.2.1","ESC ENQ"
"267","3.2.2","host","'0' ETX"
"268","host","3.2.1","ESC ENQ"
"269","3.2.2","host","'0' ETX"
"270","host","3.2.1","ESC ENQ"
"271","3.2.2","host","'0' ETX"
"272","host","3.2.1","ESC ENQ"
"273","3.2.2","host","'0' ETX"
"274","host","3.2.1","ESC ENQ"
"275","3.2.2","host","'0' ETX"
"276","host","3.2.1","ESC ENQ"
"277","3.2.2","host","'0' ETX"
"278","host","3.2.1","ESC ENQ"
"279","3.2.2","host","'0' ETX"
"280","host","3.2.1","ESC ENQ"
"281","3.2.2","host","'0' ETX"
"282","host","3.2.1","ESC ENQ"
"283","3.2.2","host","'0' ETX"
"284","host","3.2.1","ESC ENQ"
"285","3.2.2","host","'0' ETX"
"286","host","3.2.1","ESC ENQ"
"287","3.2.2","host","'0' ETX"
"288","host","3.2.1","ESC ENQ"
"289","3.2.2","host","'0' ETX"
"290","host","3.2.1","ESC ENQ"
"291","3.2.2","host","'0' ETX"
"292","host","3.2.1","ESC ENQ"
"293","3.2.2","host","'0' ETX"
"294","host","3.2.1","ESC ENQ"
"295","3.2.2","host","'0' ETX"
"296","host","3.2.1","ESC ENQ"
"297","3.2.2","host","'0' ETX"
"298","host","3.2.1","ESC ENQ"
"299","3.2.2","host","'0' ETX"
"300","host","3.2.1","ESC ENQ"
"301","3.2.2","host","'0' ETX"
"302","host","3.2.1","ESC ENQ"
"303","3.2.2","host","'0' ETX"
"304","host","3.2.1","ESC ENQ"
"305","3.2.2","host","'0' ETX"
"306","host","3.2.1","ESC ENQ"
"307","3.2.2","host","'0' ETX"
"308","host","3.2.1","ESC ENQ"
"309","3.2.2","host","'0' ETX"
"310","host","3.2.1","ESC ENQ"
"311","3.2.2","host","'0' ETX"
"312","host","3.2.1","ESC ENQ"
"313","3.2.2","host","'0' ETX"
"314","host","3.2.1","ESC ENQ"
"315","3.2.2","host","'0' ETX"
"316","host","3.2.1","ESC ENQ"
"317","3.2.2","host","'0' ETX"
"318","host","3.2.1","ESC ENQ"
"319","3.2.2","host","'0' ETX"
"320","host","3.2.1","ESC ENQ"
"321","3.2.2","host","'0' ETX"
"322","host","3.2.1","ESC ENQ"
"323","3.2.2","host","'0' ETX"
"324","host","3.2.1","ESC ENQ"
"325","3.2.2","host","'0' ETX"
"326","host","3.2.1","ESC ENQ"
"327","3.2.2","host","'0' ETX"
"328","host","3.2.1","ESC ENQ"
"329","3.2.2","host","'0' ETX"
"330","host","3.2.1","ESC ENQ"
"331","3.2.2","host","'0' ETX"
"332","host","3.2.1","ESC ENQ"
"333","3.2.2","host","'0' ETX"
"334","host","3.2.1","ESC ENQ"
"335","3.2.2","host","'0' ETX"
"336","host","3.2.1","ESC ENQ"
"337","3.2.2","host","'0' ETX"
"338","host","3.2.1","ESC ENQ"
"339","3.2.2","host","'0' ETX"
"340","host","3.2.1","ESC ENQ"
"341","3.2.2","host","'0' ETX"
"342","host","3.2.1","ESC ENQ"
"343","3.2.2","host","'0' ETX"
"344","host","3.2.1","ESC ENQ"
"345","3.2.2","host","'0' ETX"
"346","host","3.2.1","ESC ENQ"
"347","3.2.2","host","'0' ETX"
"348","host","3.2.1","ESC ENQ"
"349","3.2.2","host","'0' ETX"
"350","host","3.2.1","ESC ENQ"
"351","3.2.2","host","'0' ETX"
"352","host","3.2.1","ESC ENQ"
"353","3.2.2","host","'0' ETX"
"354","host","3.2.1","ESC ENQ"
"355","3.2.2","host","'0' ETX"
"356","host","3.2.1","ESC ENQ"
"357","3.2.2","host","'0' ETX"
"358","host","3.2.1","ESC ENQ"
"359","3.2.2","host","'0' ETX"
"360","host","3.2.1","ESC ENQ"
"361","3.2.2","host","'0' ETX"
"362","host","3.2.1","ESC ENQ"
"363","3.2.2","host","'0' ETX"
"364","host","3.2.1","'TG1' ETX"
,,,"'FN0' ETX"
,,,"'TB50,0' ETX"
,,,"'\30,30' ETX"
,,,"'Z5558,4288' ETX"
,,,"'J1' ETX"
"365","host","3.2.1","'FX33,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
"366","host","3.2.1","'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FY1' ETX"
,,,"'TF1,1' ETX"
"367","host","3.2.1","ESC ENQ"
"368","3.2.2","host","'1' ETX"
"369","host","3.2.1","ESC ENQ"
"370","3.2.2","host","'1' ETX"
"371","host","3.2.1","ESC ENQ"
"372","3.2.2","host","'1' ETX"
"373","host","3.2.1","ESC ENQ"
"374","3.2.2","host","'1' ETX"
"375","host","3.2.1","ESC ENQ"
"376","3.2.2","host","'1' ETX"
"377","host","3.2.1","ESC ENQ"
"378","3.2.2","host","'1' ETX"
"379","host","3.2.1","ESC ENQ"
"380","3.2.2","host","'1' ETX"
"381","host","3.2.1","ESC ENQ"
"382","3.2.2","host","'1' ETX"
"383","host","3.2.1","ESC ENQ"
"384","3.2.2","host","'1' ETX"
"385","host","3.2.1","ESC ENQ"
"386","3.2.2","host","'1' ETX"
"387","host","3.2.1","ESC ENQ"
"388","3.2.2","host","'1' ETX"
"389","host","3.2.1","ESC ENQ"
"390","3.2.2","host","'1' ETX"
"391","host","3.2.1","ESC ENQ"
"392","3.2.2","host","'1' ETX"
"393","host","3.2.1","ESC ENQ"
"394","3.2.2","host","'1' ETX"
"395","host","3.2.1","ESC ENQ"
"396","3.2.2","host","'1' ETX"
"397","host","3.2.1","ESC ENQ"
"398","3.2.2","host","'1' ETX"
"399","host","3.2.1","ESC ENQ"
"400","3.2.2","host","'1' ETX"
"401","host","3.2.1","ESC ENQ"
"402","3.2.2","host","'1' ETX"
"403","host","3.2.1","ESC ENQ"
"404","3.2.2","host","'1' ETX"
"405","host","3.2.1","ESC ENQ"
"406","3.2.2","host","'1' ETX"
"407","host","3.2.1","ESC ENQ"
"408","3.2.2","host","'1' ETX"
"409","host","3.2.1","ESC ENQ"
"410","3.2.2","host","'1' ETX"
"411","host","3.2.1","ESC ENQ"
"412","3.2.2","host","'1' ETX"
"413","host","3.2.1","ESC ENQ"
"414","3.2.2","host","'0' ETX"
"415","host","3.2.1","'M254,274' ETX"
"416","host","3.2.1","BE1 ... ETX"
"417","host","3.2.1","BE2 ... ETX"
"418","host","3.2.1","BE1 ... ETX"
"419","host","3.2.1","ESC ENQ"
"420","3.2.2","host","'1' ETX"
"421","host","3.2.1","ESC ENQ"
"422","3.2.2","host","'1' ETX"
"423","host","3.2.1","ESC ENQ"
"424","3.2.2","host","'1' ETX"
"425","host","3.2.1","ESC ENQ"
"426","3.2.2","host","'1' ETX"
"427","host","3.2.1","ESC ENQ"
"428","3.2.2","host","'1' ETX"
"429","host","3.2.1","ESC ENQ"
"430","3.2.2","host","'1' ETX"
"431","host","3.2.1","ESC ENQ"
"432","3.2.2","host","'1' ETX"
"433","host","3.2.1","ESC ENQ"
"434","3.2.2","host","'3' ETX"
"435","host","3.2.1","ESC ENQ"
"436","3.2.2","host","'3' ETX"
"437","host","3.2.1","ESC ENQ"
"438","3.2.2","host","'3' ETX"
"439","host","3.2.1","ESC ENQ"
"440","3.2.2","host","'3' ETX"
"441","host","3.2.1","ESC ENQ"
"442","3.2.2","host","'3' ETX"
"443","host","3.2.1","ESC ENQ"
"444","3.2.2","host","'3' ETX"
"445","host","3.2.1","ESC ENQ"
"446","3.2.2","host","'3' ETX"
"447","host","3.2.1","ESC ENQ"
"448","3.2.2","host","'3' ETX"
"449","host","3.2.1","ESC ENQ"
"450","3.2.2","host","'3' ETX"
"451","host","3.2.1","ESC ENQ"
"452","3.2.2","host","'3' ETX"
"453","host","3.2.1","ESC ENQ"
"454","3.2.2","host","'3' ETX"
"455","host","3.2.1","ESC ENQ"
"456","3.2.2","host","'3' ETX"
"457","host","3.2.1","ESC ENQ"
"458","3.2.2","host","'3' ETX"
"459","host","3.2.1","ESC ENQ"
"460","3.2.2","host","'3' ETX"
"461","host","3.2.1","ESC ENQ"
"462","3.2.2","host","'3' ETX"
"463","host","3.2.1","ESC ENQ"
"464","3.2.2","host","'3' ETX"
"465","host","3.2.1","ESC ENQ"
"466","3.2.2","host","'3' ETX"
"467","host","3.2.1","ESC ENQ"
"468","3.2.2","host","'0' ETX"
"469","host","3.2.1","ESC ENQ"
"470","3.2.2","host","'0' ETX"
"471","host","3.2.1","ESC ENQ"
"472","3.2.2","host","'0' ETX"
"473","host","3.2.1","'L0' ETX"
,,,"'J1' ETX"
"474","host","3.2.1","'FX25,1' ETX"
,,,"'!5,1' ETX"
,,,"'FC18,1,1' ETX"
,,,"'FE0,1' ETX"
,,,"'FF1,1,1' ETX"
,,,"'FC18,1,1' ETX"
"475","host","3.2.1","'FY1' ETX"
,,,"'TF2,1' ETX"
"476","host","3.2.1","ESC ENQ"
"477","3.2.2","host","'1' ETX"
"478","host","3.2.1","ESC ENQ"
"479","3.2.2","host","'1' ETX"
"480","host","3.2.1","ESC ENQ"
"481","3.2.2","host","'1' ETX"
"482","host","3.2.1","ESC ENQ"
"483","3.2.2","host","'1' ETX"
"484","host","3.2.1","ESC ENQ"
"485","3.2.2","host","'1' ETX"
"486","host","3.2.1","ESC ENQ"
"487","3.2.2","host","'1' ETX"
"488","host","3.2.1","ESC ENQ"
"489","3.2.2","host","'1' ETX"
"490","host","3.2.1","ESC ENQ"
"491","3.2.2","host","'1' ETX"
"492","host","3.2.1","ESC ENQ"
"493","3.2.2","host","'1' ETX"
"494","host","3.2.1","ESC ENQ"
"495","3.2.2","host","'1' ETX"
"496","host","3.2.1","ESC ENQ"
"497","3.2.2","host","'1' ETX"
"498","host","3.2.1","ESC ENQ"
"499","3.2.2","host","'1' ETX"
"500","host","3.2.1","ESC ENQ"
"501","3.2.2","host","'1' ETX"
"502","host","3.2.1","ESC ENQ"
"503","3.2.2","host","'1' ETX"
"504","host","3.2.1","ESC ENQ"
"505","3.2.2","host","'1' ETX"
"506","host","3.2.1","ESC ENQ"
"507","3.2.2","host","'1' ETX"
"508","host","3.2.1","ESC ENQ"
"509","3.2.2","host","'1' ETX"
"510","host","3.2.1","ESC ENQ"
"511","3.2.2","host","'1' ETX"
"512","host","3.2.1","ESC ENQ"
"513","3.2.2","host","'1' ETX"
"514","host","3.2.1","ESC ENQ"
"515","3.2.2","host","'1' ETX"
"516","host","3.2.1","ESC ENQ"
"517","3.2.2","host","'0' ETX"
"518","host","3.2.1","'M254,909' ETX"
"519","host","3.2.1","BE1 ... ETX"
