"1","3.2.0","host","DC2 SOH NUL STX NUL NUL NUL @ 'M' VT / DC1 NUL SOH NUL NUL SOH SOH"
"676","host","3.2.1","ESC ENQ"
"677","3.2.2","host","'0' ETX"
"678","host","3.2.1","ESC ENQ"
"679","3.2.2","host","'0' ETX"
"680","host","3.2.1","ESC ENQ"
"681","3.2.2","host","'0' ETX"
"682","host","3.2.1","ESC ENQ"
"683","3.2.2","host","'0' ETX"
"684","host","3.2.1","ESC ENQ"
"685","3.2.2","host","'0' ETX"
"686","host","3.2.1","ESC ENQ"
"687","3.2.2","host","'0' ETX"
"688","host","3.2.1","ESC ENQ"
"689","3.2.2","host","'0' ETX"
"690","host","3.2.1","ESC ENQ"
"691","3.2.2","host","'0' ETX"
"692","host","3.2.1","ESC ENQ"
"693","3.2.2","host","'0' ETX"
"694","host","3.2.1","ESC ENQ"
"695","3.2.2","host","'0' ETX"
"696","host","3.2.1","ESC ENQ"
"697","3.2.2","host","'0' ETX"
"698","host","3.2.1","ESC ENQ"
"699","3.2.2","host","'0' ETX"
"700","host","3.2.1","ESC ENQ"
"701","3.2.2","host","'0' ETX"
"702","host","3.2.1","ESC ENQ"
"703","3.2.2","host","'0' ETX"
"704","host","3.2.1","ESC ENQ"
"705","3.2.2","host","'0' ETX"
"706","host","3.2.1","ESC ENQ"
"707","3.2.2","host","'0' ETX"
"708","host","3.2.1","ESC ENQ"
"709","3.2.2","host","'0' ETX"
"710","host","3.2.1","ESC ENQ"
"711","3.2.2","host","'0' ETX"
"712","host","3.2.1","ESC ENQ"
"713","3.2.2","host","'0' ETX"
"714","host","3.2.1","ESC ENQ"
"715","3.2.2","host","'0' ETX"
"716","host","3.2.1","ESC ENQ"
"717","3.2.2","host","'0' ETX"
"718","host","3.2.1","ESC ENQ"
"719","3.2.2","host","'0' ETX"
"720","host","3.2.1","ESC ENQ"
"721","3.2.2","host","'0' ETX"
"722","host","3.2.1","ESC ENQ"
"723","3.2.2","host","'0' ETX"
"724","host","3.2.1","ESC ENQ"
"725","3.2.2","host","'0' ETX"
"726","host","3.2.1","ESC ENQ"
"727","3.2.2","host","'0' ETX"
"728","host","3.2.1","ESC ENQ"
"729","3.2.2","host","'0' ETX"
"730","host","3.2.1","ESC ENQ"
"731","3.2.2","host","'0' ETX"
"732","host","3.2.1","ESC ENQ"
"733","3.2.2","host","'0' ETX"
"734","host","3.2.1","ESC ENQ"
"735","3.2.2","host","'0' ETX"
"736","host","3.2.1","ESC ENQ"
"737","3.2.2","host","'0' ETX"
"738","host","3.2.1","ESC ENQ"
"739","3.2.2","host","'0' ETX"
"740","host","3.2.1","ESC ENQ"
"741","3.2.2","host","'0' ETX"
"742","host","3.2.1","ESC ENQ"
"743","3.2.2","host","'0' ETX"
"744","host","3.2.1","ESC ENQ"
"745","3.2.2","host","'0' ETX"
"746","host","3.2.1","ESC ENQ"
"747","3.2.2","host","'0' ETX"
"748","host","3.2.1","ESC ENQ"
